timestamp,label_text,name,count,filtros_ML,url
2025-09-10T10:37:44.527881,C3,Otros,176,,https://autos.mercadolibre.cl/c3/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D9003%26applied_value_name%3DC3%26applied_value_order%3D177%26applied_value_results%3D176%26is_custom%3Dfalse
2025-09-10T10:37:44.528127,Silverado,Otros,174,,https://autos.mercadolibre.cl/silverado/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D66716%26applied_value_name%3DSilverado%26applied_value_order%3D760%26applied_value_results%3D174%26is_custom%3Dfalse
2025-09-10T10:37:44.528365,208,Otros,173,,https://autos.mercadolibre.cl/208/#applied_filter_id%3DMODEL%26applied_filter_name%3DModelo%26applied_filter_order%3D5%26applied_value_id%3D9301%26applied_value_name%3D208%26applied_value_order%3D26%26applied_value_results%3D173%26is_custom%3Dfalse
2025-09-10T10:37:44.528671,Sport,Otros,422,,https://autos.mercadolibre.cl/_SHORT*VERSION_2161622#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D2161622%26applied_value_name%3DSport%26applied_value_order%3D161%26applied_value_results%3D422%26is_custom%3Dfalse
2025-09-10T10:37:44.528924,Gls,Otros,331,,https://autos.mercadolibre.cl/_SHORT*VERSION_1051901#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D1051901%26applied_value_name%3DGls%26applied_value_order%3D75%26applied_value_results%3D331%26is_custom%3Dfalse
2025-09-10T10:37:44.529089,Ex,Otros,299,,https://autos.mercadolibre.cl/_SHORT*VERSION_1051889#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D1051889%26applied_value_name%3DEx%26applied_value_order%3D55%26applied_value_results%3D299%26is_custom%3Dfalse
2025-09-10T10:37:44.529245,Lt,Otros,269,,https://autos.mercadolibre.cl/_SHORT*VERSION_1051873#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D1051873%26applied_value_name%3DLt%26applied_value_order%3D113%26applied_value_results%3D269%26is_custom%3Dfalse
2025-09-10T10:37:44.529384,Glx,Otros,245,,https://autos.mercadolibre.cl/_SHORT*VERSION_1051895#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D1051895%26applied_value_name%3DGlx%26applied_value_order%3D78%26applied_value_results%3D245%26is_custom%3Dfalse
2025-09-10T10:37:44.529519,Ltz,Otros,222,,https://autos.mercadolibre.cl/_SHORT*VERSION_2160682#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D2160682%26applied_value_name%3DLtz%26applied_value_order%3D114%26applied_value_results%3D222%26is_custom%3Dfalse
2025-09-10T10:37:44.529652,Gl,Otros,215,,https://autos.mercadolibre.cl/_SHORT*VERSION_2160184#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D2160184%26applied_value_name%3DGl%26applied_value_order%3D72%26applied_value_results%3D215%26is_custom%3Dfalse
2025-09-10T10:37:44.529822,Luxury,Otros,183,,https://autos.mercadolibre.cl/_SHORT*VERSION_2160267#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D2160267%26applied_value_name%3DLuxury%26applied_value_order%3D115%26applied_value_results%3D183%26is_custom%3Dfalse
2025-09-10T10:37:44.530008,Confort,Otros,177,,https://autos.mercadolibre.cl/_SHORT*VERSION_2162230#applied_filter_id%3DSHORT_VERSION%26applied_filter_name%3DVersiones%26applied_filter_order%3D6%26applied_value_id%3D2162230%26applied_value_name%3DConfort%26applied_value_order%3D32%26applied_value_results%3D177%26is_custom%3Dfalse
2025-09-10T10:37:44.530204,Bencina,Otros,15452,,https://autos.mercadolibre.cl/bencina/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D2318162%26applied_value_name%3DBencina%26applied_value_order%3D1%26applied_value_results%3D15452%26is_custom%3Dfalse
2025-09-10T10:37:44.530335,Diésel,Otros,4575,,https://autos.mercadolibre.cl/diesel/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D60406%26applied_value_name%3DDi%C3%A9sel%26applied_value_order%3D4%26applied_value_results%3D4575%26is_custom%3Dfalse
2025-09-10T10:37:44.530464,Híbrido,Otros,250,,https://autos.mercadolibre.cl/hibrido/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D61257%26applied_value_name%3DH%C3%ADbrido%26applied_value_order%3D6%26applied_value_results%3D250%26is_custom%3Dfalse
2025-09-10T10:37:44.530604,Eléctrico,Otros,222,,https://autos.mercadolibre.cl/electrico/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D403613%26applied_value_name%3DEl%C3%A9ctrico%26applied_value_order%3D5%26applied_value_results%3D222%26is_custom%3Dfalse
